chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	14	355	4	3807	14668	444
001.zh.tex	355	1902	4	4337	14668	1132
002.zh.tex	794	4498	4	5571	14668	2609
003.zh.tex	476	2716	4	4659	14668	1500
004.zh.tex	604	3893	4	5263	14668	2245
005.zh.tex	786	4203	4	5457	14668	2370
006.zh.tex	391	2025	4	4240	14668	1113
007.zh.tex	4	436	4	3839	14668	432
008.zh.tex	162	1009	4	3925	14668	618
head.zh.tex	11	336	4	3802	14668	385
001.zh.tex	358	1876	4	4301	14668	1038
002.zh.tex	653	3892	4	5196	14668	2151
003.zh.tex	664	3632	4	5103	14668	2035
004.zh.tex	523	3214	4	5167	14668	1963
005.zh.tex	651	3898	4	5368	14668	2216
006.zh.tex	296	1823	4	4312	14668	1059
007.zh.tex	4	370	4	3812	14668	405
008.zh.tex	172	1104	4	3960	14668	688
head.zh.tex	18	380	4	3817	14668	408
001.zh.tex	355	2032	4	4366	14668	1163
002.zh.tex	825	4532	4	5485	14668	2479
003.zh.tex	711	4342	4	5541	14668	2486
004.zh.tex	640	3945	4	5334	14668	2181
005.zh.tex	300	1924	4	4395	14668	1128
006.zh.tex	4	303	4	3758	14668	353
007.zh.tex	213	1138	4	3912	14668	644
head.zh.tex	14	360	4	3805	14668	458
001.zh.tex	387	1984	4	4283	14668	1128
002.zh.tex	698	4149	4	5497	14668	2398
003.zh.tex	655	3726	4	5197	14668	2109
004.zh.tex	909	5525	4	5821	14668	2974
005.zh.tex	306	1780	4	4314	14668	1076
006.zh.tex	4	539	4	3919	14668	510
007.zh.tex	209	1180	4	4015	14668	731
head.zh.tex	13	365	4	3813	14668	405
001.zh.tex	398	2155	4	4311	14668	1197
002.zh.tex	647	4028	4	5361	14668	2267
003.zh.tex	557	3581	4	5175	14668	2086
004.zh.tex	664	4497	4	5464	14668	2507
005.zh.tex	374	2343	4	4645	14668	1458
006.zh.tex	4	321	4	3773	14668	368
007.zh.tex	180	1154	4	3987	14668	702
head.zh.tex	15	366	4	3817	14668	402
001.zh.tex	388	1957	4	4309	14668	1110
002.zh.tex	760	3845	4	5043	14668	2061
003.zh.tex	462	2323	4	4595	14668	1393
004.zh.tex	662	3700	4	5105	14668	2074
005.zh.tex	336	1659	4	4091	14668	898
006.zh.tex	692	4007	4	5290	14668	2261
007.zh.tex	551	3264	4	5005	14668	1903
008.zh.tex	258	1470	4	4102	14668	883
009.zh.tex	4	522	4	3887	14668	480
010.zh.tex	306	1605	4	4146	14668	919
head.zh.tex	13	360	4	3814	14668	401
001.zh.tex	386	1946	4	4247	14668	1084
002.zh.tex	595	3185	4	4820	14668	1787
003.zh.tex	395	2265	4	4540	14668	1383
004.zh.tex	458	2320	4	4358	14668	1238
005.zh.tex	955	4961	4	5672	14668	2719
006.zh.tex	346	1883	4	4242	14668	1026
007.zh.tex	658	3634	4	4964	14668	1920
008.zh.tex	484	2916	4	4767	14668	1688
009.zh.tex	24	343	4	3726	14668	336
010.zh.tex	308	1724	4	4185	14668	966
head.zh.tex	13	368	4	3818	14668	405
001.zh.tex	349	1967	4	4316	14668	1112
002.zh.tex	596	4047	4	5456	14668	2351
003.zh.tex	513	3317	4	5091	14668	1864
004.zh.tex	852	5080	4	5531	14668	2694
005.zh.tex	407	2189	4	4421	14668	1204
006.zh.tex	639	3816	4	5147	14668	2116
007.zh.tex	418	2677	4	4662	14668	1467
008.zh.tex	319	2030	4	4434	14668	1222
009.zh.tex	15	559	4	3898	14668	498
010.zh.tex	393	2185	4	4354	14668	1191
