chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	15	1982	4	6568	19216	1799
001.zh.tex	76	510	4	5413	19216	395
002.zh.tex	151	958	4	5773	19216	756
003.zh.tex	73	553	4	5445	19216	627
004.zh.tex	328	1780	4	5911	19216	1030
005.zh.tex	64	537	4	5469	19216	1494
head.zh.tex	11	1925	4	6549	19216	1762
001.zh.tex	48	310	4	5398	19216	338
002.zh.tex	73	566	4	5550	19216	499
003.zh.tex	92	732	4	5688	19216	638
004.zh.tex	314	1644	4	5901	19216	990
005.zh.tex	50	340	4	5354	19216	541
head.zh.tex	12	1941	4	6548	19216	1834
001.zh.tex	71	425	4	5393	19216	356
002.zh.tex	100	634	4	5493	19216	476
003.zh.tex	32	206	4	5298	19216	564
004.zh.tex	197	1039	4	5587	19216	659
005.zh.tex	34	250	4	5321	19216	530
head.zh.tex	19	1962	4	6550	19216	1755
001.zh.tex	41	200	10	6631	57733	2190
002.zh.tex	39	344	4	5385	19216	1299
003.zh.tex	72	419	4	5408	19216	936
004.zh.tex	212	1094	4	5587	19216	1969
005.zh.tex	36	253	4	5327	19216	267
head.zh.tex	22	1982	4	6553	19216	2128
001.zh.tex	75	583	4	5454	19216	1548
002.zh.tex	51	350	4	5348	19216	313
003.zh.tex	68	382	10	7325	59371	1171
004.zh.tex	179	977	4	5577	19216	600
005.zh.tex	37	268	4	5319	19216	630
head.zh.tex	17	1971	4	6553	19216	2125
001.zh.tex	81	458	4	5372	19216	350
002.zh.tex	69	408	4	5373	19216	1967
003.zh.tex	222	982	4	5540	19216	669
004.zh.tex	33	246	4	5318	19216	255
head.zh.tex	19	1961	4	6553	19216	1825
001.zh.tex	93	407	4	5370	19216	327
002.zh.tex	41	246	4	5319	19216	1994
003.zh.tex	68	323	4	5326	19216	2055
004.zh.tex	209	926	4	5565	19216	589
005.zh.tex	40	223	4	5305	19216	246
head.zh.tex	12	1954	4	6551	19216	1903
001.zh.tex	98	517	8	6242	44554	838
002.zh.tex	33	254	4	5338	19216	289
003.zh.tex	48	347	4	5347	19216	303
004.zh.tex	197	1056	4	5607	19216	758
005.zh.tex	38	255	4	5331	19216	275
head.zh.tex	15	1959	4	6545	19216	1875
001.zh.tex	93	608	4	5440	19216	440
002.zh.tex	26	211	4	5356	19216	288
003.zh.tex	44	293	4	5350	19216	442
004.zh.tex	174	909	4	5543	19216	1711
005.zh.tex	46	293	4	5326	19216	281
head.zh.tex	20	1977	6	7393	32861	2369
001.zh.tex	102	547	4	5452	19216	2565
002.zh.tex	39	215	4	5268	19216	535
003.zh.tex	67	370	6	6270	31642	2257
004.zh.tex	208	964	4	5573	19216	603
005.zh.tex	32	215	4	5316	19216	248
head.zh.tex	16	1963	4	6556	19216	2204
001.zh.tex	51	341	4	5359	19216	302
002.zh.tex	96	670	4	5626	19216	765
003.zh.tex	192	950	4	5569	19216	574
004.zh.tex	42	268	4	5323	19216	267
head.zh.tex	10	1943	4	6545	19216	2837
001.zh.tex	96	633	4	5482	19216	455
002.zh.tex	43	362	4	5395	19216	332
003.zh.tex	34	240	4	5322	19216	258
004.zh.tex	173	1002	4	5579	19216	619
005.zh.tex	21	230	4	5334	19216	273
head.zh.tex	12	1956	4	6549	19216	2002
001.zh.tex	16	134	4	5255	19216	197
002.zh.tex	80	538	4	5461	19216	490
003.zh.tex	51	321	4	5365	19216	308
004.zh.tex	181	884	4	5553	19216	560
005.zh.tex	24	220	4	5327	19216	257
head.zh.tex	19	1975	4	6556	19216	2443
001.zh.tex	28	148	4	5249	19216	206
002.zh.tex	51	322	10	7154	58128	2303
003.zh.tex	91	572	4	5460	19216	1963
004.zh.tex	163	908	4	5509	19216	742
005.zh.tex	57	316	6	5720	31633	989
head.zh.tex	18	1963	4	6552	19216	1583
001.zh.tex	61	346	4	5356	19216	296
002.zh.tex	84	520	4	5433	19216	1065
003.zh.tex	68	464	4	5454	19216	400
004.zh.tex	171	913	4	5535	19216	568
005.zh.tex	40	261	4	5326	19216	470
head.zh.tex	14	1969	4	6538	19214	1821
001.zh.tex	89	464	4	5352	19214	337
002.zh.tex	33	254	4	5314	19214	254
003.zh.tex	68	538	4	5404	19214	408
004.zh.tex	160	952	4	5537	19214	587
005.zh.tex	37	272	4	5315	19214	266
head.zh.tex	8	1948	4	6554	19214	1890
001.zh.tex	22	184	4	5269	19214	222
002.zh.tex	40	384	4	5425	19214	4863
003.zh.tex	51	490	4	5414	19214	369
004.zh.tex	158	818	4	5526	19214	758
005.zh.tex	25	213	4	5317	19214	393
head.zh.tex	10	1949	4	6545	19214	2162
001.zh.tex	21	129	4	5253	19214	200
002.zh.tex	30	279	4	5349	19214	306
003.zh.tex	34	285	4	5337	19214	282
004.zh.tex	29	210	4	5290	19214	237
005.zh.tex	51	355	4	5364	19214	313
006.zh.tex	160	819	4	5543	19214	541
007.zh.tex	28	221	4	5303	19214	249
head.zh.tex	21	0	16	22297	164117	2565
001.zh.tex	75	470	4	5388	19214	360
002.zh.tex	39	299	4	5353	19214	286
003.zh.tex	37	368	4	5395	19214	334
004.zh.tex	183	891	4	5533	19214	676
005.zh.tex	29	256	4	5325	19214	472
head.zh.tex	19	1993	6	7646	32859	2952
001.zh.tex	76	503	4	5430	19214	1165
002.zh.tex	161	1066	4	5620	19214	655
003.zh.tex	173	892	6	5975	31852	883
004.zh.tex	32	229	4	5316	19214	254
