batch	iteration	started	notes	units	translated	signals	exit
cs329a	01	20260925T074053Z	8	83	0	23	1
cs329a	02	20260925T074258Z	8	83	13	0	0
cs329a	03	20260925T074820Z	8	83	0	8	1
cs329a	04	20260925T075109Z	8	83	6	6	1
cs329a	05	20260925T075535Z	8	83	5	3	1
cs329a	06	20260925T081308Z	8	83	0	0	0
cs329a	07	20260925T081727Z	9	94	0	0	0
talks__alibaba-cloud	01	20260925T181641Z	1	9	9	sin-ensamblar	1
talks__greg-isenberg	01	20260925T181641Z	1	9	9	sin-ensamblar	1
talks__nvidia-gtc	01	20260925T181641Z	1	8	8	sin-ensamblar	1
talks__cleo-abram	01	20260925T181641Z	1	13	13	sin-ensamblar	1
talks__20vc	01	20260925T181847Z	1	11	11	1	1
talks__no-priors	01	20260925T181830Z	1	15	15	sin-ensamblar	1
talks__20vc	02	20260925T182116Z	1	11	1	0	0
talks__dwarkesh-patel	01	20260925T181824Z	1	15	15	sin-ensamblar	1
youtube	01	20260925T181945Z	1	13	13	sin-ensamblar	1
