chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	2	2045	4	6720	19208	1941
000.zh.tex	6	566	4	5683	19208	828
001.zh.tex	510	2460	4	6191	19208	1309
002.zh.tex	571	3780	4	6962	19208	2148
003.zh.tex	734	4496	4	7171	19208	2418
004.zh.tex	141	1083	4	5734	19208	929
head.zh.tex	2	2032	4	6724	19208	2307
000.zh.tex	6	0	16	16393	121796	2256
001.zh.tex	358	2192	6	6645	32468	5996
002.zh.tex	519	3089	4	6697	19208	1750
003.zh.tex	729	3532	4	6571	19208	1861
004.zh.tex	588	2635	6	6754	32519	5847
005.zh.tex	273	2020	4	6193	19208	1225
head.zh.tex	2	2057	6	7288	33036	2120
000.zh.tex	6	569	4	5683	19208	1024
001.zh.tex	469	2923	4	6562	19208	1642
002.zh.tex	488	2911	4	6445	19208	4559
003.zh.tex	742	4045	4	7005	19208	6770
004.zh.tex	239	1774	6	6670	32293	1614
head.zh.tex	2	2045	6	7183	33029	1957
000.zh.tex	6	566	12	10869	78657	1672
001.zh.tex	738	4347	4	7163	19208	2386
002.zh.tex	728	4319	4	7135	19208	11424
003.zh.tex	562	3444	4	6739	19208	1923
head.zh.tex	2	2034	4	6727	19208	1975
000.zh.tex	6	0	16	21241	138683	1859
001.zh.tex	702	3662	4	6777	19208	2180
002.zh.tex	477	2359	6	6441	32370	1535
003.zh.tex	996	0	4	7065	19208	2565
004.zh.tex	383	2259	4	6138	19208	1303
head.zh.tex	2	2041	4	6725	19208	1765
000.zh.tex	6	566	4	5683	19208	560
001.zh.tex	268	1465	4	5763	19208	819
002.zh.tex	331	2094	4	6089	19208	1193
003.zh.tex	273	1510	4	5773	19208	852
004.zh.tex	655	3428	4	6661	19208	1936
005.zh.tex	645	3794	4	6751	19208	2050
head.zh.tex	2	2057	4	6733	19208	1883
000.zh.tex	6	561	4	5683	19208	822
001.zh.tex	400	2125	4	6088	19208	1164
002.zh.tex	438	2077	4	6020	19208	1150
003.zh.tex	1246	5859	8	8428	49200	3736
004.zh.tex	467	2751	4	6375	19208	1520
head.zh.tex	2	2060	4	6732	19208	1710
000.zh.tex	6	568	4	5683	19208	596
001.zh.tex	333	2213	4	6155	19208	1257
002.zh.tex	459	2598	6	6617	32542	1652
003.zh.tex	500	2523	4	6175	19208	1365
004.zh.tex	588	2817	4	6325	19208	1519
005.zh.tex	340	2449	4	6359	19208	4637
head.zh.tex	2	2052	4	6734	19208	1818
000.zh.tex	6	569	4	5683	19208	845
001.zh.tex	300	1564	4	5837	19208	5346
002.zh.tex	246	1578	4	5988	19208	1017
003.zh.tex	770	4027	6	7203	33091	9683
004.zh.tex	357	2059	6	6696	32359	1836
005.zh.tex	518	2545	6	6563	32507	4708
006.zh.tex	347	1794	6	6375	32283	3907
007.zh.tex	526	3019	4	6570	19208	1744
head.zh.tex	10	2042	4	6707	19208	1640
000.zh.tex	6	561	4	5686	19208	823
001.zh.tex	292	1695	4	5936	19208	985
002.zh.tex	891	4735	4	7017	19208	2454
003.zh.tex	649	3325	4	6547	19208	1815
004.zh.tex	378	0	0	0	0	0
005.zh.tex	780	0	0	0	0	0
