signal	note	chunk	action
prose:english:blockchain	cs146s/week03/week03-notes.es-mx.tex	001.es.tex	retranslate
prose:english:push	cs146s/week04/week04-notes.es-mx.tex	001.es.tex	retranslate
prose:invented:refactorizaciones	cs146s/week04/week04-notes.es-mx.tex	003.es.tex	retranslate
prose:invented:auditabilidad	cs146s/week05/week05-notes.es-mx.tex	002.es.tex	retranslate
prose:forbidden:auditabilidad	cs146s/week05/week05-notes.es-mx.tex	002.es.tex	retranslate
parity:urls	cs146s/week06/week06-notes.es-mx.tex		manual
prose:invented:auditabilidad	cs146s/week09/week09-notes.es-mx.tex	003.es.tex	retranslate
prose:invented:auditabilidad	cs146s/week09/week09-notes.es-mx.tex	005.es.tex	retranslate
prose:forbidden:auditabilidad	cs146s/week09/week09-notes.es-mx.tex	003.es.tex	retranslate
prose:forbidden:auditabilidad	cs146s/week09/week09-notes.es-mx.tex	005.es.tex	retranslate
