chunk	han	letters	input	cache_creation	cache_read	output
002.zh.tex	794	4577	4	5837	14942	2649
005.zh.tex	786	4239	4	5723	14942	2365
002.zh.tex	653	3842	4	5452	14942	2112
004.zh.tex	640	4048	4	5600	14942	2241
004.zh.tex	909	5612	4	6087	14942	3007
001.zh.tex	398	2213	4	4577	14942	1227
003.zh.tex	557	3675	4	5441	14942	2120
007.zh.tex	180	1242	4	4253	14942	742
008.zh.tex	258	1459	4	4378	14942	884
002.zh.tex	595	3196	4	5086	14942	1779
005.zh.tex	955	4949	4	5938	14942	2706
010.zh.tex	308	1775	4	4451	14942	972
005.zh.tex	407	2210	4	4687	14942	1208
