chunk	han	letters	input	cache_creation	cache_read	output
001.zh.tex	825	3186	4	6387	19238	1667
005.zh.tex	1683	7201	8	8588	46871	15298
006.zh.tex	1815	7584	16	13396	115031	17896
008.zh.tex	2208	9186	12	9852	80851	5510
009.zh.tex	1757	7534	10	11700	62645	16746
010.zh.tex	1723	7354	8	9791	50180	4621
011.zh.tex	2509	10935	14	11043	101056	20832
012.zh.tex	997	0	16	9271	107836	1619
head.zh.tex	25	2071	14	20353	123211	5649
000.zh.tex	4	688	4	5819	19242	770
001.zh.tex	426	1884	4	6052	19242	4347
002.zh.tex	908	0	16	35563	159475	5066
003.zh.tex	254	1363	6	6405	32222	1265
004.zh.tex	951	4619	6	7711	33546	2836
005.zh.tex	370	1864	6	6466	32379	1392
006.zh.tex	331	2007	4	6084	19242	3672
007.zh.tex	283	1672	6	6290	32192	2995
008.zh.tex	212	1036	12	7814	74543	1868
009.zh.tex	807	4032	16	19943	134576	10613
010.zh.tex	854	3803	4	6626	19242	1993
011.zh.tex	309	0	16	18800	113074	6503
