chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	16	1998	8	9363	47774	2831
001.zh.tex	207	1195	4	5696	19214	788
002.zh.tex	209	1502	4	6152	19214	1134
003.zh.tex	148	1089	4	5895	19214	881
004.zh.tex	290	2138	4	6600	19214	1579
005.zh.tex	158	1402	4	6216	19214	1163
006.zh.tex	133	917	6	6062	31985	944
head.zh.tex	17	1991	4	6677	19214	2554
001.zh.tex	109	621	14	9789	90832	4266
002.zh.tex	265	1766	4	6297	19214	1284
003.zh.tex	304	1993	4	6492	19214	1491
004.zh.tex	257	1744	4	6166	19214	1161
005.zh.tex	133	852	4	5807	19214	708
006.zh.tex	117	888	4	5633	19214	645
007.zh.tex	137	922	4	5681	19214	654
head.zh.tex	12	1984	8	9376	47779	4092
001.zh.tex	126	831	4	5585	19214	2444
002.zh.tex	367	2476	6	6730	32660	10075
003.zh.tex	121	653	4	5463	19214	423
004.zh.tex	79	616	4	5521	19214	483
head.zh.tex	13	1971	4	6568	19214	2036
001.zh.tex	154	830	4	5546	19214	554
002.zh.tex	324	1783	4	5989	19214	1060
003.zh.tex	189	1044	4	5671	19214	670
004.zh.tex	200	1045	4	5615	19214	619
005.zh.tex	113	666	4	5528	19214	1689
head.zh.tex	17	1990	4	6574	19214	1891
001.zh.tex	132	668	4	5482	19214	461
002.zh.tex	222	1243	4	5904	19214	887
003.zh.tex	271	1450	4	5863	19214	993
004.zh.tex	376	1854	4	5909	19214	1024
005.zh.tex	115	754	4	5579	19214	546
head.zh.tex	14	1987	4	6563	19214	1963
001.zh.tex	68	336	4	5315	19214	286
002.zh.tex	37	251	4	5408	19214	335
003.zh.tex	444	2620	4	6670	19214	1742
004.zh.tex	138	839	4	5640	19214	615
005.zh.tex	79	671	4	5527	19214	492
head.zh.tex	13	1986	4	6566	19214	2785
001.zh.tex	156	780	4	5516	19214	515
002.zh.tex	126	720	4	5604	19214	526
003.zh.tex	207	1304	4	5747	19214	773
004.zh.tex	306	1566	4	5929	19214	1051
005.zh.tex	108	599	4	5505	19214	457
006.zh.tex	81	704	4	5537	19214	487
head.zh.tex	13	1976	4	6578	19214	1966
001.zh.tex	78	419	4	5404	19214	377
002.zh.tex	190	1042	4	5747	19214	715
003.zh.tex	341	1614	4	5984	19214	1026
004.zh.tex	187	968	4	5679	19214	637
005.zh.tex	101	619	4	5516	19214	482
head.zh.tex	20	2148	16	31671	198095	3959
001.zh.tex	263	1371	4	5879	19214	908
002.zh.tex	998	5757	6	7960	33906	3303
003.zh.tex	893	5658	6	7931	33860	16514
004.zh.tex	772	4690	6	7820	33463	2881
005.zh.tex	873	5226	6	11087	33612	3026
006.zh.tex	582	4037	6	7283	33206	8510
007.zh.tex	462	3172	6	12091	33045	6805
008.zh.tex	802	4641	4	7180	19214	2504
009.zh.tex	449	2914	6	7150	33045	8866
010.zh.tex	526	3698	4	7005	19214	2138
011.zh.tex	454	3437	4	6885	19214	5687
head.zh.tex	8	1964	4	6575	19214	1914
001.zh.tex	151	754	4	5516	19214	498
002.zh.tex	155	905	4	5810	19214	744
003.zh.tex	157	1017	4	5787	19214	755
004.zh.tex	156	1066	4	5777	19214	760
005.zh.tex	156	934	4	5736	19214	682
006.zh.tex	142	874	4	5697	19214	664
007.zh.tex	429	2321	4	6101	19214	1309
008.zh.tex	217	1148	4	5610	19214	693
009.zh.tex	96	731	4	5567	19214	530
