chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	8	2055	4	6734	19214	2414
001.zh.tex	270	1534	4	5872	19214	937
002.zh.tex	470	2581	4	6321	19214	1455
003.zh.tex	609	3743	4	6996	19214	2101
004.zh.tex	433	2570	4	6399	19214	1484
005.zh.tex	414	2409	16	11008	107463	7586
006.zh.tex	403	2147	4	6135	19214	1272
007.zh.tex	290	1660	4	5893	19214	979
head.zh.tex	13	2054	4	6682	19214	2690
001.zh.tex	229	1476	4	5920	19214	925
002.zh.tex	249	1671	4	6005	19214	985
003.zh.tex	230	1460	4	5830	19214	895
004.zh.tex	178	848	4	5597	19214	554
005.zh.tex	133	910	4	5644	19214	624
006.zh.tex	124	720	4	5447	19214	486
head.zh.tex	8	1985	4	6600	19214	2005
001.zh.tex	282	1790	6	6446	32402	1641
002.zh.tex	207	1295	4	5775	19214	789
003.zh.tex	259	1922	4	6217	19214	1140
004.zh.tex	170	861	4	5564	19214	664
005.zh.tex	149	825	6	5966	31877	2152
head.zh.tex	15	2009	4	6597	19214	1862
001.zh.tex	282	1593	4	5973	19214	948
002.zh.tex	131	952	4	5741	19214	677
003.zh.tex	194	1481	4	5914	19214	876
004.zh.tex	129	806	4	5532	19214	529
head.zh.tex	10	2018	4	6620	19214	2788
001.zh.tex	167	794	4	5539	19214	534
002.zh.tex	280	1864	4	6132	19214	1141
003.zh.tex	296	1805	6	6456	32355	3661
004.zh.tex	176	1167	4	5809	19214	747
005.zh.tex	156	1084	4	5721	19214	680
006.zh.tex	64	492	4	5438	19214	396
007.zh.tex	169	895	4	5576	19214	823
head.zh.tex	18	2025	4	6602	19214	2663
001.zh.tex	228	1081	4	5640	19214	640
002.zh.tex	193	1411	4	5941	19214	886
003.zh.tex	132	964	4	5691	19214	630
004.zh.tex	93	520	4	5436	19214	401
005.zh.tex	141	744	4	5507	19214	508
head.zh.tex	17	2032	14	10869	98472	3320
001.zh.tex	187	1107	4	5711	19214	713
002.zh.tex	363	2315	4	6331	19214	1349
003.zh.tex	267	1820	4	6093	19214	1085
004.zh.tex	123	792	4	5568	19214	520
005.zh.tex	76	724	4	5623	19214	569
006.zh.tex	122	787	4	5572	19214	553
head.zh.tex	10	2016	8	9637	48277	3023
001.zh.tex	151	874	4	5589	19214	591
002.zh.tex	350	1833	4	6016	19214	1042
003.zh.tex	425	2598	4	6604	19214	1631
004.zh.tex	527	2992	4	6696	19214	1767
005.zh.tex	365	2175	4	6261	19214	3834
006.zh.tex	107	667	4	5606	19214	567
007.zh.tex	200	1176	4	5740	19214	746
head.zh.tex	18	2048	14	19798	115005	3476
001.zh.tex	61	434	8	6381	44450	840
002.zh.tex	302	1822	4	6124	19214	1133
003.zh.tex	489	2942	4	6566	19214	1668
004.zh.tex	122	643	4	5476	19214	441
005.zh.tex	389	2326	4	6230	19214	1274
006.zh.tex	149	953	4	5672	19214	643
head.zh.tex	15	2049	6	8016	33015	2416
001.zh.tex	130	821	4	5546	19214	628
002.zh.tex	381	2237	4	6323	19214	1344
003.zh.tex	216	1383	4	5906	19214	890
004.zh.tex	315	1965	4	6050	19214	1141
005.zh.tex	617	2946	4	6426	19214	1606
006.zh.tex	127	871	4	5627	19214	588
007.zh.tex	163	933	4	5556	19214	574
008.zh.tex	141	957	4	5656	19214	641
head.zh.tex	12	2026	4	6713	19214	2112
001.zh.tex	661	3155	4	6407	19214	1664
002.zh.tex	691	3538	4	6772	19214	1968
003.zh.tex	414	2239	4	6144	19214	1255
004.zh.tex	322	1633	4	5862	19214	922
005.zh.tex	434	2179	4	6135	19214	1252
006.zh.tex	481	2270	4	6140	19214	1400
007.zh.tex	278	1721	4	5977	19214	1034
head.zh.tex	18	2050	4	6705	19214	3048
001.zh.tex	202	1061	4	5613	19214	632
002.zh.tex	451	2463	4	6305	19214	1417
003.zh.tex	320	1794	4	5974	19214	1001
004.zh.tex	190	972	4	5640	19214	602
005.zh.tex	236	1419	4	5780	19214	830
