chunk	han	letters	input	cache_creation	cache_read	output
000.zh.tex	99	914	4	5661	19082	727
001.zh.tex	872	5182	16	18511	138596	11517
002.zh.tex	147	975	4	5464	19082	604
001.zh.tex	2417	12969	4	10625	19081	26416
001.zh.tex	1631	9592	4	9212	19081	14738
001.zh.tex	1309	7167	4	8252	19081	14757
001.zh.tex	1176	6500	12	16139	79775	13571
001.zh.tex	1046	5358	6	7661	32969	10575
001.zh.tex	994	5460	8	8202	48634	3593
001.zh.tex	875	5133	10	9153	65264	4525
001.zh.tex	949	5223	4	7543	19081	9855
001.zh.tex	1254	6158	6	7753	33322	11871
