chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	18	0	16	13641	122486	2975
001.zh.tex	314	1541	4	5919	19226	985
002.zh.tex	721	3601	12	9090	78180	7931
003.zh.tex	514	2950	4	6445	19226	1673
004.zh.tex	407	2062	6	6425	32386	1445
005.zh.tex	487	2378	6	6452	32398	4167
006.zh.tex	193	1104	4	5741	19226	745
007.zh.tex	167	1072	6	6169	32017	3343
008.zh.tex	363	1992	6	6535	32492	1449
009.zh.tex	242	1544	12	9961	74885	2086
head.zh.tex	15	2039	16	13172	120127	5083
000.zh.tex	4	686	4	5795	19230	824
001.zh.tex	328	1755	6	6299	32190	1327
002.zh.tex	337	1762	4	5864	19230	1017
003.zh.tex	383	1979	6	6538	32393	4526
004.zh.tex	206	1174	4	5678	19230	773
005.zh.tex	433	2127	4	6044	19230	1205
006.zh.tex	249	1095	4	5668	19230	715
007.zh.tex	135	554	4	5439	19230	434
008.zh.tex	155	1167	4	5818	19230	805
head.zh.tex	12	2012	4	6731	19228	1811
000.zh.tex	4	686	4	5788	19228	852
001.zh.tex	110	609	6	5858	31805	725
002.zh.tex	440	2021	4	6029	19228	3973
003.zh.tex	187	966	6	6071	31918	1155
004.zh.tex	403	1866	4	5993	19228	1145
005.zh.tex	104	542	4	5413	19228	393
006.zh.tex	174	812	14	7156	85810	3511
007.zh.tex	436	2240	4	6042	19228	1484
008.zh.tex	214	1214	4	5762	19228	814
head.zh.tex	17	2030	16	14045	128515	4667
000.zh.tex	4	686	4	5784	19226	822
001.zh.tex	191	831	4	5508	19226	657
002.zh.tex	348	1500	6	6135	32088	1073
003.zh.tex	385	1787	8	8586	46175	1409
004.zh.tex	457	2327	6	6433	32353	1582
005.zh.tex	144	676	4	5506	19226	491
006.zh.tex	158	770	6	6043	31870	931
007.zh.tex	154	722	4	5488	19226	1334
008.zh.tex	176	846	4	5535	19226	555
009.zh.tex	284	1541	4	5872	19226	962
