chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	15	1928	4	6397	18926	1819
000.zh.tex	6	724	4	5520	18926	781
001.zh.tex	411	2143	4	5770	18926	3700
002.zh.tex	532	0	8	6597	45486	682
003.zh.tex	399	2201	4	5892	18926	4498
004.zh.tex	451	2335	4	5880	18926	1370
005.zh.tex	391	2072	4	5743	18926	3988
006.zh.tex	349	1793	4	5617	18926	3258
007.zh.tex	389	0	8	9634	48263	4085
008.zh.tex	260	1427	4	5452	18926	3545
009.zh.tex	560	2728	6	6416	32053	1818
010.zh.tex	371	2041	4	5682	18926	2842
011.zh.tex	368	2436	4	6037	18926	1480
