chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	6	1849	6	6567	30984	2120
000.zh.tex	9	681	4	5533	18932	730
001.zh.tex	194	803	6	5855	31326	985
002.zh.tex	497	2432	6	6475	31957	1750
003.zh.tex	367	0	8	12621	49667	6443
004.zh.tex	484	2481	4	5892	18932	1328
005.zh.tex	455	2141	8	10263	47596	6584
006.zh.tex	397	0	8	9638	46227	1046
007.zh.tex	378	1720	4	5616	18932	3154
008.zh.tex	634	3249	6	7989	32294	6295
009.zh.tex	384	1647	4	5602	18932	1089
010.zh.tex	312	0	8	6247	44862	1130
011.zh.tex	333	1717	4	5635	18932	983
012.zh.tex	279	1551	4	5591	18932	1043
013.zh.tex	816	4309	4	6731	18932	2352
