chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	8	2029	4	6727	19232	1760
000.zh.tex	35	881	4	5893	19232	1406
001.zh.tex	1214	5486	12	22190	96657	17259
002.zh.tex	643	2903	4	6443	19232	5662
003.zh.tex	853	4051	12	8358	77738	3183
004.zh.tex	1251	0	16	12919	116549	3229
005.zh.tex	708	3091	8	7704	47219	2505
006.zh.tex	2043	9259	14	14321	112420	20135
007.zh.tex	865	3590	12	10512	77658	2692
008.zh.tex	1341	6156	4	7777	19232	13992
009.zh.tex	1065	4553	10	10803	63008	7756
010.zh.tex	582	2515	8	7434	46371	1900
011.zh.tex	2102	9651	8	11933	52242	5500
012.zh.tex	1034	5095	4	7228	19232	8175
013.zh.tex	1678	8996	4	9019	19232	14850
head.zh.tex	18	1945	4	6604	19232	1736
000.zh.tex	35	808	4	5817	19232	1192
001.zh.tex	1465	7176	14	17033	112135	23234
002.zh.tex	1249	5962	10	12903	64343	12090
003.zh.tex	507	2624	14	9455	92162	2641
004.zh.tex	1331	6900	10	10534	68896	4964
005.zh.tex	1187	6612	12	15529	92694	12569
006.zh.tex	1049	5273	8	9636	49577	12259
007.zh.tex	1677	7557	10	12458	70563	5111
008.zh.tex	1229	6058	4	7697	19232	10090
009.zh.tex	817	4302	4	6818	19232	6282
010.zh.tex	804	4073	4	6762	19232	2164
011.zh.tex	861	4222	4	6709	19232	2169
012.zh.tex	738	3666	4	6615	19232	2003
013.zh.tex	926	0	10	9916	63547	3100
014.zh.tex	593	0	16	11100	112998	2845
head.zh.tex	20	2097	6	7383	33128	2074
000.zh.tex	4	670	4	5782	19236	669
001.zh.tex	442	2260	4	6183	19236	1281
002.zh.tex	584	3004	4	6374	19236	5133
003.zh.tex	569	2984	4	6408	19236	1660
004.zh.tex	353	1887	4	5953	19236	1085
005.zh.tex	553	2962	16	12997	117714	5412
006.zh.tex	413	2009	4	5952	19236	1115
007.zh.tex	524	2638	8	7057	46218	1768
008.zh.tex	376	1866	4	5887	19236	1119
009.zh.tex	876	4115	4	6593	19236	2258
010.zh.tex	905	4290	6	7311	33096	6574
011.zh.tex	340	2364	4	6255	19236	1393
head.zh.tex	22	2072	4	6749	19228	2873
000.zh.tex	4	649	4	5738	19228	720
001.zh.tex	493	2564	6	6836	32636	1692
002.zh.tex	545	2795	4	6432	19228	5426
003.zh.tex	354	1927	4	5924	19228	1079
004.zh.tex	323	1636	4	5911	19228	1539
005.zh.tex	366	0	0	0	0	0
006.zh.tex	365	0	0	0	0	0
007.zh.tex	338	0	0	0	0	0
008.zh.tex	356	0	0	0	0	0
009.zh.tex	310	0	0	0	0	0
010.zh.tex	348	0	0	0	0	0
011.zh.tex	402	0	0	0	0	0
012.zh.tex	882	0	0	0	0	0
013.zh.tex	769	0	0	0	0	0
014.zh.tex	649	0	0	0	0	0
015.zh.tex	873	0	0	0	0	0
016.zh.tex	749	0	0	0	0	0
head.zh.tex	9	0	0	0	0	0
000.zh.tex	4	0	0	0	0	0
001.zh.tex	710	0	0	0	0	0
002.zh.tex	679	0	0	0	0	0
003.zh.tex	537	0	0	0	0	0
004.zh.tex	511	0	0	0	0	0
005.zh.tex	507	0	0	0	0	0
006.zh.tex	608	0	0	0	0	0
007.zh.tex	487	0	0	0	0	0
008.zh.tex	518	0	0	0	0	0
009.zh.tex	397	0	0	0	0	0
010.zh.tex	472	0	0	0	0	0
011.zh.tex	380	0	0	0	0	0
012.zh.tex	443	0	0	0	0	0
013.zh.tex	1699	0	0	0	0	0
014.zh.tex	874	0	0	0	0	0
015.zh.tex	1402	0	0	0	0	0
016.zh.tex	1341	0	0	0	0	0
017.zh.tex	927	0	0	0	0	0
