signal	note	chunk	action
prose:english:function	talks/lex-fridman/dario-amodei-claude/dario-amodei-claude-notes.es-mx.tex	011.es.tex	retranslate
compile:missing-glyph	talks/lex-fridman/dario-amodei-claude/dario-amodei-claude-notes.es-mx.tex		manual
prose:english:microwave	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex	001.es.tex	retranslate
prose:english:gang	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex	001.es.tex	retranslate
prose:forbidden:corrida	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex	007.es.tex	retranslate
prose:forbidden:corrida	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex	013.es.tex	retranslate
compile:missing-glyph	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex		manual
prose:invented:entregabilidad	talks/lex-fridman/jensen-huang-nvidia/jensen-huang-nvidia-notes.es-mx.tex	002.es.tex	retranslate
prose:invented:antropomorfización	talks/lex-fridman/openclaw-agent/openclaw-agent-notes.es-mx.tex	007.es.tex	retranslate
prose:forbidden:antropomorfización	talks/lex-fridman/openclaw-agent/openclaw-agent-notes.es-mx.tex	007.es.tex	retranslate
prose:invented:infraestructuralización	talks/lex-fridman/state-of-ai-2026/state-of-ai-2026-notes.es-mx.tex	010.es.tex	retranslate
prose:invented:explicabilidad	talks/lex-fridman/state-of-ai-2026/state-of-ai-2026-notes.es-mx.tex	014.es.tex	retranslate
structure:carácter de reemplazo U+FFFD	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex	012.es.tex	retranslate
