chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	8	1895	4	6369	18922	1628
000.zh.tex	8	669	4	5494	18922	812
001.zh.tex	231	1174	8	6607	44320	1273
002.zh.tex	332	1778	8	7116	44917	1601
003.zh.tex	350	0	8	8073	45472	1003
004.zh.tex	520	3084	6	7976	32145	3491
005.zh.tex	236	1273	8	6071	44450	1196
006.zh.tex	718	3625	4	6291	18922	2021
007.zh.tex	358	1835	4	5634	18922	3576
008.zh.tex	304	1678	4	5600	18922	976
009.zh.tex	266	0	8	6336	44606	718
010.zh.tex	215	1216	4	5475	18922	2051
011.zh.tex	709	0	8	7503	46495	5571
012.zh.tex	631	3240	4	6281	18922	8173
013.zh.tex	433	2636	8	7549	45545	2113
