chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	29	0	16	11036	116859	2239
000.zh.tex	44	829	4	5796	19222	1261
001.zh.tex	676	3204	8	7020	46602	2112
002.zh.tex	747	3576	6	7065	32870	2204
003.zh.tex	798	3822	6	7139	33063	6953
004.zh.tex	642	3175	4	6471	19222	6007
005.zh.tex	527	2721	6	6710	32618	1798
006.zh.tex	399	2281	4	6247	19222	1331
head.zh.tex	29	1993	4	6581	19220	3010
000.zh.tex	70	986	4	5825	19220	1450
001.zh.tex	590	3016	4	6266	19220	1716
002.zh.tex	782	4040	6	7154	33001	6387
003.zh.tex	676	3480	6	6947	32797	2171
004.zh.tex	729	3556	4	6461	19220	1851
005.zh.tex	536	2788	10	7434	60638	8101
006.zh.tex	393	2304	4	6189	19220	1351
head.zh.tex	34	1982	4	6593	19220	3124
000.zh.tex	9	649	4	5684	19220	592
001.zh.tex	341	2045	4	6055	19220	6325
002.zh.tex	503	2673	8	11953	46567	6590
003.zh.tex	770	4332	12	9039	78391	16832
004.zh.tex	831	4873	6	7807	33425	3065
005.zh.tex	728	4361	6	7410	33279	22466
006.zh.tex	520	2985	10	9495	61560	7555
007.zh.tex	454	2615	6	11230	32617	6628
008.zh.tex	150	960	4	5602	19220	4646
009.zh.tex	213	1636	4	5906	19220	1000
head.zh.tex	14	2093	4	6795	19220	3437
001.zh.tex	794	4076	8	8440	47748	2852
002.zh.tex	1421	7411	14	13238	105657	15134
003.zh.tex	944	4947	12	8739	79040	3826
004.zh.tex	924	0	16	13447	119517	2885
005.zh.tex	1126	6220	4	7737	19220	9637
006.zh.tex	761	4337	8	10458	47743	9359
007.zh.tex	554	0	16	21076	128167	2632
