route	signal	notes	paths
local	prose:forbidden:la clave está en	2	interviews/whynot-tv/yang-shuo-robotics/yang-shuo-robotics-notes.es-mx.tex talks/aitime/zhang-bo-agi/zhang-bo-agi-notes.es-mx.tex
local	compile:error:Package fontspec Error: The font "AR PL UMing CN" cannot be found.	1	interviews/zhang-xiaojun/xie-saining-ami/xie-saining-ami-notes.es-mx.tex
local	compile:error:Unable to load picture or PDF file 'waveform-full.png'.	1	interviews/zhang-xiaojun/ji-yichao-manus/ji-yichao-manus-notes.es-mx.tex
local	parity:ctex	1	cs329a/notes-shared.es-mx.tex
local	parity:residual-han	1	llm-architect/lecture09/lecture09-notes.es-mx.tex
local	parity:residual-han:推理	1	agentic-rl/lecture05/lecture05-notes.es-mx.tex
local	parity:residual-han:构建模型	1	modern-agent/lecture08/lecture08-notes.es-mx.tex
local	parity:urls	1	cs146s/week06/week06-notes.es-mx.tex
local	prose:english:blockchain	1	cs146s/week03/week03-notes.es-mx.tex
local	prose:english:easter	1	talks/lex-fridman/openclaw-agent/openclaw-agent-notes.es-mx.tex
local	prose:english:gang	1	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex
local	prose:english:microwave	1	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex
local	prose:english:push	1	cs146s/week04/week04-notes.es-mx.tex
local	prose:forbidden:agarra el	1	modern-agent/lecture11/lecture11-notes.es-mx.tex
local	prose:forbidden:antropomorfización	1	interviews/whynot-tv/yang-shuo-robotics/yang-shuo-robotics-notes.es-mx.tex
local	prose:forbidden:corrida	1	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex
local	prose:forbidden:corridas	1	talks/lex-fridman/deepseek-china-ai/deepseek-china-ai-notes.es-mx.tex
local	prose:invented:antropomorfización	1	interviews/whynot-tv/yang-shuo-robotics/yang-shuo-robotics-notes.es-mx.tex
local	prose:invented:deserialización	1	modern-agent/lecture06/lecture06-notes.es-mx.tex
local	prose:invented:entregabilidad	1	talks/lex-fridman/jensen-huang-nvidia/jensen-huang-nvidia-notes.es-mx.tex
local	prose:invented:explicabilidad	1	talks/lex-fridman/state-of-ai-2026/state-of-ai-2026-notes.es-mx.tex
local	prose:invented:infraestructuración	1	talks/lex-fridman/state-of-ai-2026/state-of-ai-2026-notes.es-mx.tex
local	prose:invented:ortogonalización	1	interviews/zhang-xiaojun/yang-zhilin-k2/yang-zhilin-k2-notes.es-mx.tex
local	prose:invented:pseudoautomatización	1	interviews/zhang-xiaojun/ji-yichao-manus/ji-yichao-manus-notes.es-mx.tex
local	prose:invented:reescalamiento	1	llm-architect/lecture01/lecture01-notes.es-mx.tex
local	prose:invented:refactorizaciones	1	cs146s/week04/week04-notes.es-mx.tex
local	prose:unaccented:lei	1	interviews/whynot-tv/hu-yuanming-meshy/hu-yuanming-meshy-notes.es-mx.tex
