chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	43	2157	4	6482	18918	2760
000.zh.tex	15	676	4	5431	18918	621
001.zh.tex	855	4268	8	7935	46911	12376
002.zh.tex	997	5085	4	6735	18918	7083
003.zh.tex	864	4477	8	9618	46605	9617
004.zh.tex	767	3873	8	7852	46222	2569
005.zh.tex	859	0	8	8069	46391	1552
006.zh.tex	643	3142	6	9681	32010	5234
007.zh.tex	706	3875	4	6339	18918	6230
008.zh.tex	763	4019	8	11243	49756	6411
009.zh.tex	745	0	8	7454	46122	2695
010.zh.tex	776	3651	8	7100	46006	2667
011.zh.tex	470	0	8	7094	45112	905
